docket_id,engine_off_section_id,engine_off_start,engine_off_end,engine_off_duration_minutes
Cemex--1026239709,306.0,2024-11-25 09:41:27+00:00,2024-11-25 10:23:15+00:00,41.8
Cemex--1026239709,307.0,2024-11-25 11:00:52+00:00,2024-11-25 11:23:06+00:00,22.233333333333334
Cemex--1026240116,519.0,2024-11-25 09:04:37+00:00,2024-11-25 09:05:38+00:00,1.0166666666666666
Cemex--1026240131,463.0,2024-11-25 08:28:31+00:00,2024-11-25 08:29:31+00:00,1.0
Cemex--1026240712,357.0,2024-11-25 09:00:41+00:00,2024-11-25 09:05:52+00:00,5.183333333333334
Cemex--1026240792,432.0,2024-11-25 09:54:43+00:00,2024-11-25 10:05:35+00:00,10.866666666666667
Cemex--1026240792,433.0,2024-11-25 10:21:28+00:00,2024-11-25 10:33:10+00:00,11.7
Cemex--1026240792,434.0,2024-11-25 10:48:13+00:00,2024-11-25 11:48:05+00:00,59.86666666666667
Cemex--1026241007,601.0,2024-11-25 09:34:21+00:00,2024-11-25 09:39:53+00:00,5.533333333333333
Cemex--1026241326,492.0,2024-11-25 08:47:33+00:00,2024-11-25 08:48:43+00:00,1.1666666666666667
Cemex--1026241390,336.0,2024-11-25 09:49:32+00:00,2024-11-25 09:50:12+00:00,0.6666666666666666
Cemex--1026241459,470.0,2024-11-25 09:00:55+00:00,2024-11-25 09:01:55+00:00,1.0
Cemex--1026241992,362.0,2024-11-25 09:08:54+00:00,2024-11-25 09:08:54+00:00,0.0
Cemex--1026242347,249.0,2024-11-25 09:29:28+00:00,2024-11-25 09:35:49+00:00,6.35
