@timestamp,docket_id,docket_rmc,truck_registration,docket_plant_code,docket_datetime_batch_utc,volume_delivered,docket_jobsite_description,detail_docket_consistence_class,detail_docket_consistence_class_min,detail_docket_consistence_class_max,detail_docket_consistence_target,detail_docket_consistence_lower_limit_composite,detail_docket_consistence_upper_limit_composite
2025-01-21 08:46:21.000,London-Concrete--41230603,London-Concrete,RX18HLD,OCO,2025-01-21T08:46:13.527Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 08:48:19.000,London-Concrete--41230607,London-Concrete,WU64ATY,BWL,2025-01-21T08:47:50.115Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 09:01:20.000,London-Concrete--41230601,London-Concrete,RX68YCV,OCO,2025-01-21T08:51:00.000Z,8,WP17 OLD OAK COMMON LANE - NORTH ACTON,S4,160,210,0,150,220
2025-01-21 09:06:19.000,London-Concrete--41230603,London-Concrete,RX18HLD,OCO,2025-01-21T08:56:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 09:06:21.000,London-Concrete--41230603,London-Concrete,RX18HLD,OCO,2025-01-21T08:56:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 09:09:18.000,London-Concrete--41230529,London-Concrete,WU72CME,BWL,2025-01-21T08:38:00.000Z,7.5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-21 09:09:20.000,London-Concrete--41230521,London-Concrete,EK19VBB,BWL,2025-01-21T08:28:00.000Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 09:27:19.000,London-Concrete--41230607,London-Concrete,WU64ATY,BWL,2025-01-21T08:43:00.000Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 09:27:20.000,London-Concrete--41230724,London-Concrete,KX16FOF,BWL,2025-01-21T09:26:36.966Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 09:28:21.000,London-Concrete--41230730,London-Concrete,RX18HLD,OCO,2025-01-21T09:28:06.289Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 09:35:19.000,London-Concrete--41230077,London-Concrete,WU64AUA,HNL,2025-01-20T14:35:00.000Z,1,"STANHOPE ROAD, HARINGEY",S1,10,40,0,0,50
2025-01-21 09:36:19.000,London-Concrete--41230753,London-Concrete,KX16FOK,BWL,2025-01-21T09:36:01.744Z,6,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-21 09:37:19.000,London-Concrete--41230724,London-Concrete,KX16FOF,BWL,2025-01-21T09:22:00.000Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 09:44:22.000,London-Concrete--41230730,London-Concrete,RX18HLD,OCO,2025-01-21T09:32:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 09:55:19.000,London-Concrete--41230753,London-Concrete,KX16FOK,BWL,2025-01-21T09:32:00.000Z,6,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-21 09:55:20.000,London-Concrete--41230816,London-Concrete,GN17VMG,BWL,2025-01-21T09:54:51.784Z,6,ARMADA WAY - BECKTON,NA,0,0,0,0,0
2025-01-21 10:04:19.000,London-Concrete--41230847,London-Concrete,RX18HLD,OCO,2025-01-21T10:04:00.699Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 10:14:19.000,London-Concrete--41230882,London-Concrete,WN66YBU,BWL,2025-01-21T10:13:58.661Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 10:22:19.000,London-Concrete--41230847,London-Concrete,RX18HLD,OCO,2025-01-21T10:07:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 10:31:18.000,London-Concrete--41230816,London-Concrete,GN17VMG,BWL,2025-01-21T09:51:00.000Z,6,ARMADA WAY - BECKTON,NA,0,0,0,0,0
2025-01-21 10:38:23.000,London-Concrete--41230882,London-Concrete,WN66YBU,BWL,2025-01-21T10:24:00.000Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 10:42:19.000,London-Concrete--41230989,London-Concrete,RX68YCR,BWL,2025-01-21T10:41:32.366Z,6,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-21 10:47:19.000,London-Concrete--41231007,London-Concrete,RX18HLD,OCO,2025-01-21T10:46:43.478Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 10:54:18.000,London-Concrete--41231033,London-Concrete,RX68YCV,OCO,2025-01-21T10:53:38.467Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 11:03:19.000,London-Concrete--41231062,London-Concrete,WU19HYJ,BWL,2025-01-21T11:03:14.775Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 11:07:19.000,London-Concrete--41231007,London-Concrete,RX18HLD,OCO,2025-01-21T10:49:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 11:13:18.000,London-Concrete--41231033,London-Concrete,RX68YCV,OCO,2025-01-21T11:02:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 11:13:20.000,London-Concrete--41231033,London-Concrete,RX68YCV,OCO,2025-01-21T10:53:38.467Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 11:21:19.000,London-Concrete--41230882,London-Concrete,WN66YBU,BWL,2025-01-21T10:24:00.000Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 11:23:19.000,London-Concrete--41231121,London-Concrete,RX18HLD,OCO,2025-01-21T11:23:11.602Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 11:25:18.000,London-Concrete--41231124,London-Concrete,WU19HZV,BWL,2025-01-21T11:24:41.347Z,6,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-21 11:26:18.000,London-Concrete--41231062,London-Concrete,WU19HYJ,BWL,2025-01-21T11:00:00.000Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 11:27:18.000,London-Concrete--41231033,London-Concrete,RX68YCV,OCO,2025-01-21T11:02:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 11:30:19.000,London-Concrete--41231146,London-Concrete,RX68YCV,OCO,2025-01-21T11:30:17.378Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 11:37:19.000,London-Concrete--41231168,London-Concrete,WX71VLA,BWL,2025-01-21T11:37:16.348Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
